State_Name,District_Name,Block_Name,Panchayat_Name,Village_Name,Habitation_Name,Quality_Parameter,Year
ANDHRA PRADESH,EAST GODAVARI(04),PRATHIPADU(10),GOKAVARAM(04),VANTHADA(014 ),VANTHADA(0404410014010400),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),PRATHIPADU(10),GOKAVARAM(04),PANDAVULAPALEM(022 ),PANDAVULAPALEM(0404410022010400),Fluoride,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),PRATHIPADU(10),GAJJANAPUDI(06),G. KOTHURU(023 ),G. KOTHURU(0404410023010600),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),PRATHIPADU(10),GAJJANAPUDI(06),GAJJANAPUDI(029 ),GAJJANAPUDI(0404410029010600),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),PRATHIPADU(10),CHINTALURU(10),CHINTALURU(028 ),CHINTALURU(0404410028011000),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),PRATHIPADU(10),ELURU(16),P. JAGANNADHAPURAM(035 ),P. JAGANNADHAPURAM(0404410035011600),Fluoride,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),RAMPACHODAVARAM(13),MANIWADA(08),REDAKONDA(020 ),REDAKONDA(0403813020010800),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),DEVIPATNAM(14),CHOPPAKONDA(08),NEREDUVALASA(028 ),NEREDUVALASA(0403814028010800),Fluoride,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),KADIAM(31),KADIAPUSAVARAM(03),KADIAM(002 ),KADIYAPU SAVARAM(0404131002010300),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),KADIAM(31),KADIAPULANKA(04),KADIAM(002 ),KADIAPULANKA(0404131002010400),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),KADIAM(31),DHAMIREDDY PALLE(07),DHAMIREDDY PALLE(004 ),DHAMIREDDY PALLE(0404131004010700),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),KADIAM(31),VEERAVARAM(08),VEERAVARAM(005 ),VEERAVARAM(0404131005010800),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),KADIAM(31),MURAMUNDA(10),MURAMUNDA(006 ),MURAMUNDA(0404131006011000),Salinity,01-04-20
ANDHRA PRADESH,EAST GODAVARI(04),RAMACHANDRAPURAM(39),ODURU(05),ODURU(005 ),JUVVIPADU(0405139005020500),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),ACHANTA(41),KANDARAVALLI(06),KANDARAVALLI(005 ),KANDARAVALLI(0506141005010600),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),BUTTAIGUDEM(02),BUTTAIGUDEM(10),BUTTAIGUDEM(025 ),VEERANNAPALEM(0507302025071000),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),CHINTALAPUDI(09),VENKATADRIGUDEM(08),VENKATDRI GUDEM(017 ),GOLLAGUDEM(0507409017020800),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),J.R.GUDEM(07),A.POLAVARAM(07),A.POLAVARAM(009 ),CHINNAVARIGUDEM(0507307009020700),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),IRAGAVARAM(31),ARJUNUDUPALEM(10),IRAGAVARAM(010 ),ARJUNUDUPALEM(0506431010091000),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),ELAMANCHILI(44),ELAMANCHILI(26),ELAMANCHILI(012 ),KALAVAVODDU KAPULAPALEM(0505944012162600),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),ELAMANCHILI(44),CHINCHINADA(29),CHINCHINADA(013 ),MUDUNURUVARIGARUVU(0505944013032900),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PENUGONDA(40),SIDHANTAM(03),SIDHANTAM(003 ),GHATALADIBBA(0506440003030300),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PENUGONDA(40),MULAPARRU(12),MULAPARRU(012 ),MADDIGUNTACHERUVU(0506140012051200),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PENUGONDA(40),CHINAMALLAM(14),CHINAMALLAM(014 ),TALLAPALEM(0506140014061400),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PENUMANTRA(39),VELGALAVARIPALEM(05),PENUMANTRA(005 ),VELAGALAVARIPALEM(0506639005060500),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PENUMANTRA(39),BATLAMAGATURU(09),BATLAMAGATURU(008 ),BATLAMAGATURU(0506639008010900),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PENUMANTRA(39),GARUVUPALEM(18),PENUMANTRA(005 ),GARUVUPALEM(0506639005021800),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),POLAVARAM(03),CHEGONDAPALLI(05),CHEGONAPALLI(013 ),CHEGONDAPALLI(0507303013010500),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PEDAVEGI(21),NADUPALLI(18),NADUPALLI(016 ),NADUPALLI(0506921016011800),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),TANUKU(28),YERRAI CHERUVU(09),VELPURU(010 ),YERRAI CHERUVU(0506528010030900),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PEDAPADU(22),SAKALA KOTHAPALLI(21),SAKALA KOTHAPALLI(025 ),KADIMIKUNTA(0506922025022100),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),PODURU(42),GUMMALURU(14),GUMMALURU(012 ),RAVIGOPPU(0506142012061400),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),K.KOTA(11),ANKALAMPADU(07),ANKALAMPADU(012 ),ANKALAMPADU(0507411012010700),Salinity,01-04-20
ANDHRA PRADESH,WEST GODAVARI(05),K.KOTA(11),K.S.RAMA VARAM(08),K.S.RAMA VARAM(013 ),JANGAM COLONY(0507411013050800),Salinity,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),SHANKARAPATNAM  (48),METPALLY(13),METPALLY(013 ),METPALLY(2025148013011300),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),SHANKARAPATNAM  (48),LINGAPUR(14),METPALLY(013 ),LINGAPUR(2025148013021400),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),SHANKARAPATNAM  (48),KOTHAGATTU(15),KOTHAGATTU(014 ),KOTHAGATTU(2025148014011500),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),SHANKARAPATNAM  (48),KOTHAGATTU(15),KOTHAGATTU(014 ),GOLLAPALLY(2025148014021500),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),SHANKARAPATNAM  (48),AMBALPUR(18),AMBALPUR(016 ),AMBALPUR(2025148016011800),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),KAMALAPUR  (50),KANNUR(02),KANNUR(002 ),KANNUR(2025250002010200),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),KAMALAPUR  (50),GUNDED(03),GUNDED(003 ),GUNDED(2025250003010300),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),KAMALAPUR  (50),SHANIGARAM(06),SHANIGARAM(006 ),SHANIGARAM(2025250006010600),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),KAMALAPUR  (50),GOPALPUR(07),SHANIGARAM(006 ),GOPALPUR(2025250006040700),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),KAMALAPUR  (50),DESHARAJUPALLE(12),DESHARAJUPALLI(010 ),DESHARAJUPALLE(2025150010011200),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),KOHEDA   (54),KOHEDA(08),KOHEDA(008 ),DHARMA SAGARPALLY(2025354008020800),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),PANDILLA(02),PANDILLA(002 ),PANDILLA(2025355002010200),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),MADATHA(07),MADATHA(005 ),RAMULAPALLI(2025355005030700),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),UMMAPOOR(10),UMMAPOOR(008 ),UMMAPOOR(2025155008011000),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),MERJAPOOR(12),MERJAPOOR(009 ),MERJAPOOR(2025155009011200),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),JANAGAN(16),JANAGAN(012 ),GUBBADI(2025355012021600),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),GOVARDHANAGIRI(18),REGONDA(013 ),PARIKI BANDA(2025355013031800),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),DHRMARAM(19),DHRMARAM(014 ),DHRMARAM(2025355014011900),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),NANDARAM(20),NANDARAM(015 ),KAPORNAYAK THADA(2025355015022000),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),NANDARAM(20),NANDARAM(015 ),NANDARAM(2025355015012000),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),GOURAVELLI(21),GOURAVELLI(016 ),GOURAVELLI(2025355016012100),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),CHOUTAPALLY(24),CHOTAPALLI(018 ),CHOTAPALLI(2025155018012400),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),MOTHKULAPALLI(27),MALLAMPALLI (020 ),RODATANDA-MANGANVANIPALLI(2025155020052700),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),POTHATRAM-J(32),POTHATRAM-J(024),POTHATRAM-J(2025355024013200),Fluoride,01-04-20
ANDHRA PRADESH,KARIMNAGAR(20),HUSNABAD   (55),POTHATRAM-J(32),POTHATRAM-J(024),TURKAVANI KUNTA(2025355024023200),Fluoride,01-04-20
